,amateur,country,country_code,dg_id,player_name
0,0,United States,USA,32153,"Abbate, Ryan"
1,0,England,ENG,14794,"Abbott, Jamie"
2,0,Sweden,SWE,23950,"Aberg, Ludvig"
3,1,Egypt,EGY,8863,"Abou El Ela, Issa"
4,0,Portugal,POR,24555,"Abreu, Alexandre"
5,0,Turkey,TUR,21644,"Acikalin, Leon"
6,0,United States,USA,27455,"Ackerman, Derek"
7,0,United States,USA,7612,"Adamonis, Brad"
8,0,United States,USA,10049,"Adams III, Frank"
9,0,United States,USA,12088,"Adams, Blake"
10,0,Germany,GER,20942,"Adank, Niklas"
11,0,Sweden,SWE,12234,"Adell, Gustav"
12,0,United States,USA,30736,"Adrounie, Tom"
13,0,South Africa,RSA,24573,"Africa, Keelan"
14,0,Sweden,SWE,20400,"Agren, Jonathan"
15,0,Colombia,COL,25686,"Aguado, Camilo"
16,0,Chile,CHI,8135,"Aguilar, Felipe"
17,0,Spain,ESP,19557,"Aguilar, Mario Galiano"
18,0,India,IND,22897,"Ahlawat, Veer"
19,0,South Africa,RSA,11852,"Ahlers, Jaco"
20,0,India,IND,18056,"Ahmed, Syed Saqib"
21,0,Finland,FIN,11897,"Ahokas, Antti"
22,0,South Africa,RSA,7679,"Aiken, Thomas"
23,1,United States,USA,30618,"Akana, Blaze"
24,0,Sweden,SWE,11530,"Akesson, Bjorn"
25,1,United States,USA,32652,"Akina, Kihei"
26,0,Japan,JPN,13528,"Akiyoshi, Shota"
27,0,Uganda,UGA,8749,"Akope, Deo"
28,0,Japan,JPN,15726,"Akutsu, Mikiya"
29,1,Qatar,QAT,17056,"Al Kaabi, Saleh"
30,0,Saudi Arabia,KSA,23074,"Al Kurdi, Shergo"
31,1,Saudi Arabia,KSA,22605,"Al Mansour, Abdulrahman"
32,0,Saudi Arabia,KSA,11985,"Al Mulla, Othman"
33,0,United Arab Emirates,UAE,14407,"Al Musharrekh, Ahmed"
34,0,United Arab Emirates,UAE,22704,"Al Musharrekh, Hassin"
35,1,Oman,OMA,18024,"Al Rumhy, Azzan"
36,1,Qatar,QAT,15960,"Al Shahrani, Abdulrahman Abdulla"
37,0,Qatar,QAT,22829,"Al Shahrani, Ali"
38,0,Saudi Arabia,KSA,22606,"Al Sharif, Saud"
39,1,Bahrain,BRN,30586,"Al Zayed, Ahmed"
40,0,United States,USA,29601,"Albano, Jr., Anthony"
41,0,Germany,GER,25305,"Albers, Anton"
42,0,South Africa,RSA,24341,"Albertse, Louis"
43,0,United States,USA,21235,"Albertson, Anders"
44,0,Netherlands,NED,16496,"Albertus, Max"
45,0,United States,USA,11677,"Aldridge, Tyler"
46,0,United States,USA,14002,"Alexander, Tyson"
47,0,United States,USA,29152,"Alford, Ryan"
48,0,India,IND,2017,"Ali, Feroz"
49,0,Bahrain,BRN,30582,"Alkaabi, Khalifa"
50,0,New Zealand,NZL,4871,"Alker, Steven"
51,0,Bahrain,BRN,26093,"Alkowari, Ali"
52,1,Qatar,QAT,24543,"Alkuwari, Jaham"
53,0,England,ENG,18778,"Allan, James"
54,0,Australia,AUS,5697,"Allan, Stephen"
55,0,Canada,CAN,13850,"Allenby, James"
56,0,Australia,AUS,4949,"Allenby, Robert"
57,0,United States,USA,27560,"Alligood, Andrew"
58,0,Turkey,TUR,18051,"Altuntas, Ali"
59,0,Chile,CHI,12547,"Alvarado, Benjamin"
60,0,Colombia,COL,19461,"Alvarez, Felipe"
61,1,Puerto Rico,PUR,12764,"Alverio, Max"
62,0,France,FRA,28592,"Amat, Bastien"
63,0,unknown,unknown,10058297,"Amin, Paresh"
64,0,Zimbabwe,ZIM,18286,"Amm, David"
65,0,Korea - Republic of,KOR,14459,"An, Byeong Hun"
66,1,India,IND,32006,"Anand, Vinamra"
67,0,Mexico,MEX,18238,"Ancer, Abraham"
68,0,Denmark,DEN,20158,"Andersen, Jeppe Kristian"
69,0,United States,USA,23540,"Andersen, Mason"
